Semana,Município,Incidencia
2025-09-07,ABDON BATISTA,0.0
2025-09-07,ITAPIRANGA,0.0
2025-09-07,ITAPEMA,0.0
2025-09-07,ITAJAÍ,1.0303294650185975
2025-09-07,IRINEÓPOLIS,0.0
2025-09-07,IRATI,0.0
2025-09-07,SÃO MARTINHO,0.0
2025-09-07,IRANI,0.0
2025-09-07,IRACEMINHA,0.0
2025-09-07,IPUMIRIM,0.0
2025-09-07,IPUAÇU,0.0
2025-09-07,IPORÃ DO OESTE,0.0
2025-09-07,IPIRA,0.0
2025-09-07,IOMERÊ,0.0
2025-09-07,INDAIAL,0.0
2025-09-07,IMBUIA,0.0
2025-09-07,IMBITUBA,0.0
2025-09-07,IMARUÍ,0.0
2025-09-07,TIMBÉ DO SUL,0.0
2025-09-07,ILHOTA,0.0
2025-09-07,IBIRAMA,0.0
2025-09-07,IBICARÉ,0.0
2025-09-07,HERVAL D'OESTE,0.0
2025-09-07,GUATAMBÚ,0.0
2025-09-07,GUARUJÁ DO SUL,0.0
2025-09-07,GUARAMIRIM,0.0
2025-09-07,ITAPOÁ,0.0
2025-09-07,ITUPORANGA,0.0
2025-09-07,ITÁ,0.0
2025-09-07,IÇARA,0.0
2025-09-07,SANGÃO,0.0
2025-09-07,MAREMA,0.0
2025-09-07,MARAVILHA,0.0
2025-09-07,MARACAJÁ,0.0
2025-09-07,MAJOR GERCINO,0.0
2025-09-07,MAFRA,0.0
2025-09-07,LUZERNA,0.0
2025-09-07,LUIZ ALVES,0.0
2025-09-07,LONTRAS,0.0
2025-09-07,LINDÓIA DO SUL,0.0
2025-09-07,LAURO MÜLLER,0.0
2025-09-07,SIDERÓPOLIS,0.0
2025-09-07,GUARACIABA,0.0
2025-09-07,LAURENTINO,0.0
2025-09-07,LAGUNA,0.0
2025-09-07,LAGES,0.0
2025-09-07,LACERDÓPOLIS,0.0
2025-09-07,JUPIÁ,0.0
2025-09-07,JOSÉ BOITEUX,0.0
2025-09-07,JOINVILLE,0.1618177963976122
2025-09-07,JOAÇABA,0.0
2025-09-07,JARDINÓPOLIS,0.0
2025-09-07,JARAGUÁ DO SUL,0.0
2025-09-07,SÃO JOAQUIM,0.0
2025-09-07,JAGUARUNA,0.0
2025-09-07,JABORÁ,0.0
2025-09-07,LAJEADO GRANDE,0.0
2025-09-07,GUABIRUBA,0.0
2025-09-07,GRAVATAL,0.0
2025-09-07,GOVERNADOR CELSO RAMOS,0.0
2025-09-07,CELSO RAMOS,0.0
2025-09-07,CAÇADOR,0.0
2025-09-07,CAXAMBU DO SUL,0.0
2025-09-07,CATANDUVAS,0.0
2025-09-07,CAPÃO ALTO,0.0
2025-09-07,CAPIVARI DE BAIXO,0.0
2025-09-07,VITOR MEIRELES,0.0
2025-09-07,CAPINZAL,0.0
2025-09-07,CANOINHAS,0.0
2025-09-07,CANELINHA,0.0
2025-09-07,CAMPOS NOVOS,0.0
2025-09-07,CAMPO ERÊ,0.0
2025-09-07,CHAPECÓ,1.9908421262193907
2025-09-07,CAMPO ALEGRE,0.0
2025-09-07,CAIBI,0.0
2025-09-07,BRUSQUE,0.0
2025-09-07,BRAÇO DO NORTE,0.0
2025-09-07,BOTUVERÁ,0.0
2025-09-07,MACIEIRA,0.0
2025-09-07,BOMBINHAS,8.191349934469201
2025-09-07,BOM JESUS DO OESTE,0.0
2025-09-07,BOM JESUS,0.0
2025-09-07,BOM JARDIM DA SERRA,0.0
2025-09-07,BLUMENAU,0.2752243078108659
2025-09-07,BIGUAÇU,0.0
2025-09-07,BENEDITO NOVO,0.0
2025-09-07,CAMBORIÚ,1.7830556224201413
