 INVESTIGAÇÃO DENGUE A PARTIR DE 2014
Frequência por Mun infec SC e Sem.Epid.Sintomas
Classificacao Nova: Dengue com complicações, Febre Hemorrágica do Dengue, Síndrome do Choque do Dengue, Dengue, Dengue com sinais de alarme, Dengre grave
Conf.Desc pos2010: Laboratórial, Clínico-epidemiológico
Período:2024
"Mun infec SC";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 42";"Semana 43";"Semana 44";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"420665 Guatambú";0;0;0;0;0;1;0;0;2;1;1;6;8;8;8;14;9;15;30;22;6;4;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142
"420670 Herval d'Oeste";0;0;0;0;0;0;0;0;1;1;2;4;4;23;18;10;17;24;48;31;7;4;3;6;8;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214
"420690 Ibirama";0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2;2;3;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
"420700 Içara";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"420710 Ilhota";0;0;0;0;0;0;4;15;9;11;10;27;27;38;34;35;29;27;23;8;3;7;3;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;319
"420720 Imaruí";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420730 Imbituba";0;0;0;0;0;0;0;1;1;2;3;3;0;0;0;1;4;1;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
"420740 Imbuia";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420750 Indaial";1;1;2;2;7;11;37;52;93;166;266;334;513;547;723;681;605;618;731;583;350;151;139;105;111;61;22;7;1;1;0;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6926
"420757 Iomerê";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420760 Ipira";0;0;0;0;0;0;0;0;0;0;2;1;3;9;6;23;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
"420765 Iporã do Oeste";0;0;0;0;1;0;3;3;3;2;5;10;5;9;19;15;8;7;6;3;5;1;1;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112
"420768 Ipuaçu";0;0;0;0;0;0;1;0;0;3;4;13;12;23;41;68;55;59;67;61;10;5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427
"420770 Ipumirim";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;2;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"420775 Iraceminha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;6;1;7;2;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
"420785 Irati";0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;5;1;11;12;8;2;3;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
"420790 Irineópolis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"420800 Itá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420820 Itajaí";41;44;27;14;167;410;903;1346;1533;901;1095;1156;1286;255;302;303;276;161;137;102;32;20;188;185;164;89;53;28;32;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11267
"420830 Itapema";1;2;0;1;3;13;18;19;22;42;45;82;62;76;53;74;51;39;35;44;19;14;4;6;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;735
"420840 Itapiranga";4;13;17;23;32;48;115;146;127;177;147;186;149;137;102;102;56;62;53;43;13;7;6;6;4;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1780
"420845 Itapoá";1;0;0;3;6;5;29;21;36;56;92;140;163;193;354;345;348;262;236;207;95;71;46;46;30;10;7;2;5;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2813
"420850 Ituporanga";0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
"420860 Jaborá";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420880 Jaguaruna";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420890 Jaraguá do Sul";2;2;6;13;10;29;45;76;176;274;371;588;708;958;1563;1809;2021;1454;2008;2021;1110;650;457;516;309;209;111;41;27;16;24;14;5;3;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;17629
"420895 Jardinópolis";0;0;0;0;0;0;0;0;0;0;0;1;1;1;9;8;5;17;37;26;10;4;1;8;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135
"420900 Joaçaba";0;0;0;0;0;1;0;1;0;0;0;1;0;5;4;1;1;6;4;6;1;3;4;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
"420910 Joinville";136;173;277;350;485;1138;1855;3048;4010;4278;5065;6039;6054;6431;6638;6614;5906;4946;4772;4119;2456;1682;1573;1410;1171;745;475;260;198;242;169;140;88;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;82975
"420915 José Boiteux";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420917 Jupiá";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;5;8;9;7;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
"420920 Lacerdópolis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420930 Lages";0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"420940 Laguna";0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"420945 Lajeado Grande";0;0;0;0;1;0;0;0;0;0;0;0;0;2;3;5;6;2;5;6;3;0;2;2;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
"420950 Laurentino";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"420960 Lauro Muller";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"420985 Lindóia do Sul";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"420990 Lontras";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421000 Luiz Alves";0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;2;4;8;14;7;4;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48
"421003 Luzerna";0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;5;7;5;1;2;1;3;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
"421010 Mafra";0;0;0;0;0;0;0;0;1;0;1;2;2;3;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
"421020 Major Gercino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"421040 Maracajá";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421050 Maravilha";1;0;0;8;5;4;20;24;29;41;52;58;79;77;68;95;83;69;93;66;21;16;11;8;6;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;939
"421055 Marema";0;0;0;0;0;0;0;0;0;1;2;4;4;8;10;9;2;6;10;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61
"421060 Massaranduba";0;0;0;1;0;1;0;0;0;0;0;0;2;2;2;3;1;4;5;6;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
"421090 Modelo";0;0;0;0;0;0;0;0;0;0;0;0;2;1;9;4;3;7;10;5;2;4;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53
"421100 Mondaí";0;0;0;0;0;0;2;3;11;19;20;36;49;45;67;108;50;64;80;40;14;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;619
"421130 Navegantes";1;1;5;6;16;48;66;161;162;247;294;478;500;648;769;735;611;436;428;419;204;106;74;69;51;31;22;4;4;4;1;1;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;6606
"421140 Nova Erechim";0;0;0;0;0;0;0;4;2;4;8;7;18;44;51;93;78;64;133;96;22;19;11;12;16;9;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694
"421145 Nova Itaberaba";0;0;0;0;0;0;0;0;0;0;1;0;0;1;3;5;1;6;10;6;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
"421150 Nova Trento";1;0;0;0;2;0;4;7;12;10;30;28;25;36;60;54;50;36;32;17;4;5;2;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;422
"421165 Novo Horizonte";0;0;0;0;0;0;0;0;1;0;1;10;11;7;14;23;11;6;18;10;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116
"421180 Ouro";0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;2;8;9;9;6;5;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
"421185 Ouro Verde";0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;2;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
"421187 Paial";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"421190 Palhoça";3;2;5;6;7;11;11;27;31;20;21;25;25;45;40;34;42;36;49;39;30;13;10;11;7;4;3;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;561
"421200 Palma Sola";0;0;0;0;0;0;0;0;0;0;1;10;14;14;21;46;28;31;48;35;19;21;8;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302
"421210 Palmitos";0;0;1;1;2;3;3;8;9;14;16;35;32;35;64;61;50;64;90;55;17;16;13;23;10;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;631
"421220 Papanduva";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421223 Paraíso";0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;7;6;14;18;4;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59
"421225 Passo de Torres";0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;2;1;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
"421227 Passos Maia";0;0;0;0;0;0;0;0;1;1;0;2;2;4;2;5;1;5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
"421250 Penha";6;10;23;37;36;53;137;172;139;144;114;116;148;170;136;129;43;49;79;44;7;5;3;6;5;2;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1820
"421290 Pinhalzinho";0;0;0;0;0;0;1;5;3;5;8;18;21;20;38;32;26;39;57;64;27;17;3;7;5;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;402
"421310 Piratuba";0;0;1;0;0;0;0;0;0;0;0;0;2;6;11;10;16;18;29;19;5;3;1;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127
"421315 Planalto Alegre";0;0;0;0;0;0;0;1;0;1;2;0;1;7;5;10;8;10;16;22;10;7;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105
"421320 Pomerode";0;1;0;0;0;2;2;2;8;7;1;16;7;14;21;13;10;13;18;15;4;2;4;2;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169
"421330 Ponte Alta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421340 Ponte Serrada";0;0;0;0;1;1;0;0;0;0;1;1;0;3;1;2;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
"421350 Porto Belo";1;0;0;1;3;14;11;30;41;70;76;88;110;122;114;110;111;101;98;75;36;25;14;8;11;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1275
"421360 Porto União";0;0;0;0;0;0;0;0;0;0;1;3;6;9;11;14;10;11;19;40;17;10;2;4;2;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164
"421370 Pouso Redondo";0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;3;3;2;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
"421400 Presidente Getúlio";0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"421410 Presidente Nereu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"421415 Princesa";0;0;0;0;0;0;0;0;0;0;0;0;1;7;4;8;10;14;14;19;4;3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88
"421420 Quilombo";0;0;0;1;0;2;1;2;2;2;0;3;7;5;11;29;10;9;19;20;4;2;1;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137
"421460 Rio do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"421480 Rio do Sul";0;1;0;0;0;0;0;0;3;1;0;2;1;3;4;16;19;17;17;17;17;4;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130
"421470 Rio dos Cedros";0;0;0;0;0;2;0;1;3;1;0;3;1;4;4;3;6;2;3;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42
"421500 Rio Negrinho";0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
"421507 Riqueza";0;0;0;0;0;0;0;0;0;1;0;10;12;23;29;39;33;29;47;48;6;2;3;2;8;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;301
"421510 Rodeio";0;0;0;0;0;0;0;4;0;1;1;2;1;2;8;6;4;3;7;4;6;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54
"421530 Salete";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421535 Saltinho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"421540 Salto Veloso";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"421555 Santa Helena";0;0;0;0;0;0;4;3;0;2;9;1;7;6;7;9;8;8;6;3;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77
